question,answer
"Are there no clearly superior methods for diagnosing , predicting , and noninvasively treating dental caries?","(1) Past caries is the best predictor of future caries. (2) A combination of visual-tactile and radiographic examination is better than either method alone. (3) There is insufficient evidence to support noninvasive treatment of early caries. STUDY OBJECTIVE AND METHODS: To perform a systematic review of published literature to (1) determine the evidence for the effectiveness of different methods (visual-tactile versus radiographic) for detecting caries; (2) identify the most prescient predictors of dental caries; and (3) evaluate the evidence supporting the use of noninvasive methods for the treatment of caries, particularly early caries."
Do high-frequency electroencephalographic oscillations correlate with outcome of epilepsy surgery?,"The correlation between removal of HFO-generating areas and good surgical outcome indicates that HFOs could be used as a marker of epileptogenicity and may be more accurate than spike-generating areas or the SOZ. In patients in whom the majority of HFO-generating tissue remained, a poor surgical outcome occurred."
"Is maternal anxiety related to infant neurological condition , paternal anxiety is not?",Infants of mothers with high trait anxiety have an increased vulnerability to develop a non-optimal nervous system. The association may be mediated in part by early programming of monoaminergic systems. Future research should include an exploration of specific windows of vulnerability to maternal anxiety.
Is intranasal naloxone delivery an alternative to intravenous naloxone for opioid overdoses?,"Intranasal naloxone is statistically as effective as IV naloxone at reversing the effects of opioid overdose. The IV and IN groups had similar average increases in RR and GCS. Based on our results, IN naloxone is a viable alternative to IV naloxone while posing less risk of needle stick injury. Additionally, we demonstrated that GCS is correlated with RR in opioid intoxication."
Do three-dimensional vessel analyses provide more accurate length estimations than the gold standard QCA?,Three-dimensional QCA provides accurate and precise vessel diameter assessments. Length assessments are consistently longer than two-dimensional measures and are significantly less affected by foreshortened projections.
Does b-type natriuretic peptide predict responses to indomethacin in premature neonates with patent ductus arteriosus?,High baseline BNP levels predict poor responses to indomethacin and the need for surgery in premature neonates with PDA.
Is infant overweight associated with delayed motor development?,Pediatric overweight and high subcutaneous fat are associated with delayed infant motor development.
"Is pTCH1 , a receptor of Hedgehog signaling pathway , correlated with metastatic potential of colorectal cancer?",Our data suggest that PTCH1 might be a potential biomarker that could discriminate CRC with high from that with low metastatic risk.
Do variants of the Matrix Metalloproteinase-2 but not the Matrix Metalloproteinase-9 genes significantly influence functional outcome after stroke?,The results presented strongly indicate that MMP-2 genetic variants are an important mediator of functional outcome after stroke.
Is surveillance colonoscopy cost-effective for patients with adenomas who are at high risk of colorectal cancer?,Surveillance colonoscopy is cost-effective for patients who are at high risk for developing colorectal cancer. Aggressive surveillance can be expensive or even harmful; efforts should be made to improve risk models for colonic neoplasia.
Are war-related stressors associated with asthma risk among older Kuwaitis following the 1990 Iraqi invasion and occupation?,"War-related trauma is associated with increased asthma risk in these elderly civilians. Although prior research has documented the significant and persistent psychological toll of war, these findings implicate even broader health effects."
